item_id,order_id,product_id,quantity,unit_price
1,1001,318,5,4759
2,1002,204,1,595
3,1003,265,2,474
4,1003,335,5,43539
5,1004,296,1,511
6,1004,124,2,924
7,1004,220,3,217
8,1005,207,1,6522
9,1005,260,5,9604
10,1006,218,2,30997
11,1007,216,1,3195
12,1007,260,5,9564
13,1008,274,3,66304
14,1009,304,5,12172
15,1009,296,1,546
16,1010,264,1,48546
17,1010,215,1,797
18,1011,183,2,3063
19,1012,208,1,2655
20,1012,228,1,38715
21,1012,181,3,793
22,1013,316,2,9235
23,1013,216,1,3196
24,1014,255,1,2097
25,1015,256,2,1509
26,1016,312,1,63345
27,1017,214,1,74021
28,1017,206,1,2827
29,1018,121,1,4326
30,1018,139,1,1663
31,1019,271,1,3395
32,1019,255,2,2090
33,1020,126,2,4692
34,1020,140,1,12359
35,1020,338,2,636
36,1021,135,3,3745
37,1021,309,1,4531
38,1022,295,3,7774
39,1023,113,1,1108
40,1023,217,1,824
41,1023,251,1,4882
42,1024,171,3,1842
43,1025,212,2,17858
44,1025,270,1,11838
45,1025,178,1,3317
46,1026,258,3,7013
47,1026,206,3,3117
48,1027,191,2,561
49,1028,161,1,1518
50,1028,290,3,1861
51,1029,183,1,3242
52,1030,297,1,6077
53,1030,182,1,10864
54,1031,259,2,83265
55,1031,255,1,2124
56,1032,112,1,1048
57,1033,127,1,8397
58,1033,349,3,5225
59,1034,280,2,7431
60,1034,127,5,9037
61,1035,151,5,22746
62,1035,203,2,37665
63,1035,238,5,1194
64,1036,110,2,2872
65,1037,259,1,84430
66,1037,215,1,838
67,1037,238,3,1205
68,1038,232,1,1517
69,1039,308,1,2155
70,1039,176,1,5506
71,1040,210,1,27270
72,1040,345,1,3016
73,1041,223,2,8945
74,1041,156,1,212
75,1042,228,1,39085
76,1042,194,2,35569
77,1043,213,1,40467
78,1044,299,1,443
79,1044,291,1,3823
80,1044,154,3,6046
81,1044,282,2,14421
82,1045,145,1,2904
83,1046,196,2,1863
84,1046,118,1,318
85,1046,241,1,1327
86,1046,189,3,12583
87,1047,317,1,29020
88,1047,221,1,1680
89,1047,282,2,13802
90,1048,336,1,4731
91,1048,261,3,3761
92,1049,214,1,73946
93,1050,143,1,1494
94,1051,242,1,3379
95,1052,126,1,4680
96,1053,271,2,3135
97,1053,223,2,9224
98,1053,199,1,14271
99,1054,107,2,68131
100,1055,321,1,29060
101,1055,133,5,702
102,1055,238,2,1134
103,1056,347,3,7258
104,1057,108,2,1449
105,1057,248,1,8147
106,1057,286,1,41168
107,1057,266,1,5050
108,1058,207,1,6596
109,1059,181,2,823
110,1060,308,5,2002
111,1061,315,2,1498
112,1061,133,1,676
113,1061,135,1,3837
114,1062,213,5,40647
115,1063,225,2,4269
116,1063,192,3,1305
117,1063,259,1,82423
118,1064,204,1,578
119,1065,155,2,5457
120,1065,163,1,518
121,1066,212,1,18494
122,1066,326,3,75054
123,1066,179,1,38710
124,1067,156,1,222
125,1068,289,1,9455
126,1068,332,1,524
127,1068,265,1,465
128,1069,197,3,1289
129,1069,318,1,4687
130,1070,320,5,3876
131,1071,101,1,7881
132,1071,350,1,788
133,1072,313,1,1439
134,1072,340,2,1442
135,1072,301,1,6594
136,1072,348,1,1837
137,1073,177,2,9777
138,1073,221,1,1710
139,1074,288,2,383
140,1075,175,3,3242
141,1075,249,1,1864
142,1076,218,1,32923
143,1076,235,1,1243
144,1076,233,2,4542
145,1077,174,1,48175
146,1077,163,1,501
147,1078,236,3,28886
148,1079,286,2,41598
149,1080,180,1,34475
150,1081,117,1,9824
151,1082,144,1,3502
152,1082,262,1,78720
153,1083,125,2,1644
154,1083,112,1,992
155,1084,295,1,7356
156,1085,267,1,5275
157,1085,315,3,1452
158,1086,308,2,2073
159,1087,281,2,4100
160,1088,148,1,9879
161,1089,324,5,397
162,1089,186,1,1234
163,1090,335,1,42491
164,1090,313,1,1439
165,1091,204,1,563
166,1092,166,1,10745
167,1093,125,5,1644
168,1094,153,1,11429
169,1094,318,3,4801
170,1094,290,1,1758
171,1095,251,2,4611
172,1095,134,1,2041
173,1095,148,1,10367
174,1096,112,1,1026
175,1096,318,1,4815
176,1097,126,1,4625
177,1098,233,1,4859
178,1099,141,2,925
179,1099,163,3,509
180,1099,288,1,389
181,1100,203,1,39228
182,1101,210,1,27963
183,1101,304,1,12312
184,1102,291,1,3918
185,1103,164,2,50955
186,1103,212,3,18516
187,1103,293,1,6306
188,1103,217,2,809
189,1104,313,1,1519
190,1104,160,1,14315
191,1105,346,1,1159
192,1105,204,1,606
193,1105,195,1,6944
194,1105,309,2,4512
195,1106,259,1,79695
196,1106,335,1,44637
197,1107,164,1,51507
198,1108,174,3,48777
199,1109,337,2,11814
200,1109,296,1,533
201,1109,201,2,25550
202,1109,212,1,18410
203,1110,248,1,7897
204,1110,242,1,3393
205,1110,328,2,2581
206,1111,252,1,11767
207,1111,139,1,1754
208,1112,279,5,932
209,1112,340,1,1352
210,1112,208,1,2746
211,1113,241,1,1302
212,1114,248,1,8331
213,1115,238,1,1198
214,1116,161,2,1631
215,1116,258,1,6927
216,1117,191,3,600
217,1118,126,3,4567
218,1118,201,1,24955
219,1119,106,1,24028
220,1120,116,1,1102
221,1121,102,1,1992
222,1121,342,3,30237
223,1121,125,3,1580
224,1122,199,2,13744
225,1122,288,5,419
226,1122,171,1,1784
227,1123,301,1,6719
228,1123,298,1,82062
229,1123,214,2,80306
230,1124,316,2,9126
231,1125,335,3,43835
232,1126,292,2,1649
233,1126,339,2,38683
234,1127,311,2,5203
235,1128,271,1,3252
236,1128,129,3,572
237,1129,123,1,14832
238,1129,259,1,82799
239,1130,156,1,211
240,1130,185,1,29115
241,1131,302,2,41311
242,1132,284,1,1970
243,1133,109,2,301
244,1133,295,1,8063
245,1134,335,2,44857
